Date : 2026-02-23 15:05:27
Directory : d:\WEBProgramozás\laguna-lovas-klub
Total : 96 files,  16875 codes, 599 comments, 2854 blanks, all 20328 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\WEBProgramozás\laguna-lovas-klub\jsconfig.json                                        | JSON with Comments |          8 |          0 |          1 |          9 |
| d:\WEBProgramozás\laguna-lovas-klub\package-lock.json                                    | JSON               |      3,199 |          0 |          1 |      3,200 |
| d:\WEBProgramozás\laguna-lovas-klub\package.json                                         | JSON               |         27 |          0 |          1 |         28 |
| d:\WEBProgramozás\laguna-lovas-klub\src\App.vue                                          | vue                |         20 |          0 |          3 |         23 |
| d:\WEBProgramozás\laguna-lovas-klub\src\assets\base.css                                  | PostCSS            |         71 |          2 |         14 |         87 |
| d:\WEBProgramozás\laguna-lovas-klub\src\assets\img\letöltés.svg                          | XML                |          1 |          0 |          0 |          1 |
| d:\WEBProgramozás\laguna-lovas-klub\src\assets\logo.svg                                  | XML                |          1 |          0 |          1 |          2 |
| d:\WEBProgramozás\laguna-lovas-klub\src\assets\main.css                                  | PostCSS            |        656 |         37 |         68 |        761 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\Footer.vue                            | vue                |        149 |          0 |         10 |        159 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\Header.vue                            | vue                |        246 |          0 |         35 |        281 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\admin\AdminDashboard.vue              | vue                |        157 |          6 |         14 |        177 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\admin\AdminLayout.vue                 | vue                |         55 |          4 |         11 |         70 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\admin\LoginPage.vue                   | vue                |        101 |          5 |         17 |        123 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\competitions\AdminCompetitionList.vue | vue                |        129 |          5 |         15 |        149 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\competitions\CompetitionForm.vue      | vue                |        386 |         14 |         31 |        431 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\contact\AdminContactList.vue          | vue                |        151 |          1 |         10 |        162 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\contact\ContactForm.vue               | vue                |         97 |          0 |         11 |        108 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\horses\AdminHorseList.vue             | vue                |        134 |          5 |         15 |        154 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\horses\HorseCard.vue                  | vue                |         70 |          3 |         11 |         84 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\horses\HorseFilter.vue                | vue                |         33 |          0 |          5 |         38 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\horses\HorseForm.vue                  | vue                |        286 |         13 |         31 |        330 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\horses\HorseGallery.vue               | vue                |         65 |          3 |         12 |         80 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\horses\HorseImageGallery.vue          | vue                |        191 |          9 |         36 |        236 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\horses\HorseImageUpload.vue           | vue                |        110 |          2 |         19 |        131 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\icons\IconCommunity.vue               | vue                |          7 |          0 |          1 |          8 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\icons\IconDocumentation.vue           | vue                |          7 |          0 |          1 |          8 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\icons\IconEcosystem.vue               | vue                |          7 |          0 |          1 |          8 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\icons\IconSupport.vue                 | vue                |          7 |          0 |          1 |          8 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\icons\IconTooling.vue                 | vue                |         18 |          1 |          1 |         20 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\pages\HorsesPage.vue                  | vue                |         76 |          6 |         11 |         93 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\pages\ResultsPage.vue                 | vue                |        241 |         11 |         15 |        267 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\pages\RolunkPage.vue                  | vue                |        227 |          0 |         18 |        245 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\products\AdminCategoryList.vue        | vue                |        105 |          5 |         16 |        126 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\products\AdminProductList.vue         | vue                |        133 |          5 |         16 |        154 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\products\CategoryForm.vue             | vue                |        132 |          7 |         13 |        152 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\products\ProductForm.vue              | vue                |        221 |         12 |         21 |        254 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\webshop\ProductCard.vue               | vue                |         88 |          3 |         13 |        104 |
| d:\WEBProgramozás\laguna-lovas-klub\src\components\webshop\ProductFilter.vue             | vue                |         54 |          2 |          7 |         63 |
| d:\WEBProgramozás\laguna-lovas-klub\src\composables\useAuth.js                           | JavaScript         |         75 |         12 |         11 |         98 |
| d:\WEBProgramozás\laguna-lovas-klub\src\composables\useCompetitionForm.js                | JavaScript         |        151 |          6 |         24 |        181 |
| d:\WEBProgramozás\laguna-lovas-klub\src\composables\useCompetitions.js                   | JavaScript         |         62 |          0 |          7 |         69 |
| d:\WEBProgramozás\laguna-lovas-klub\src\composables\useContactForm.js                    | JavaScript         |         61 |          0 |          8 |         69 |
| d:\WEBProgramozás\laguna-lovas-klub\src\composables\useContacts.js                       | JavaScript         |         54 |          0 |          8 |         62 |
| d:\WEBProgramozás\laguna-lovas-klub\src\composables\useHorseForm.js                      | JavaScript         |        207 |         33 |         33 |        273 |
| d:\WEBProgramozás\laguna-lovas-klub\src\composables\useHorses.js                         | JavaScript         |         92 |         21 |         11 |        124 |
| d:\WEBProgramozás\laguna-lovas-klub\src\composables\useProductForm.js                    | JavaScript         |        217 |         28 |         35 |        280 |
