"filename", "language", "JSON", "HTML", "Markdown", "JavaScript", "vue", "JSON with Comments", "PostCSS", "XML", "comment", "blank", "total"
"d:\WEBProgramozás\laguna-lovas-klub\src\components\products\AdminCategoryList.vue", "vue", 0, 0, 0, 0, 105, 0, 0, 0, 5, 16, 126
"d:\WEBProgramozás\laguna-lovas-klub\src\components\products\AdminProductList.vue", "vue", 0, 0, 0, 0, 133, 0, 0, 0, 5, 16, 154
"d:\WEBProgramozás\laguna-lovas-klub\src\components\products\CategoryForm.vue", "vue", 0, 0, 0, 0, 132, 0, 0, 0, 7, 13, 152
"d:\WEBProgramozás\laguna-lovas-klub\src\components\products\ProductForm.vue", "vue", 0, 0, 0, 0, 221, 0, 0, 0, 12, 21, 254
"d:\WEBProgramozás\laguna-lovas-klub\src\components\webshop\ProductCard.vue", "vue", 0, 0, 0, 0, 88, 0, 0, 0, 3, 13, 104
"d:\WEBProgramozás\laguna-lovas-klub\src\components\webshop\ProductFilter.vue", "vue", 0, 0, 0, 0, 54, 0, 0, 0, 2, 7, 63
"d:\WEBProgramozás\laguna-lovas-klub\src\composables\useAuth.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 0, 12, 11, 98
"d:\WEBProgramozás\laguna-lovas-klub\src\composables\useCompetitionForm.js", "JavaScript", 0, 0, 0, 151, 0, 0, 0, 0, 6, 24, 181
"d:\WEBProgramozás\laguna-lovas-klub\src\composables\useCompetitions.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 7, 69
"d:\WEBProgramozás\laguna-lovas-klub\src\composables\useContactForm.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 8, 69
"d:\WEBProgramozás\laguna-lovas-klub\src\composables\useContacts.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 8, 62
"d:\WEBProgramozás\laguna-lovas-klub\src\composables\useHorseForm.js", "JavaScript", 0, 0, 0, 207, 0, 0, 0, 0, 33, 33, 273
"d:\WEBProgramozás\laguna-lovas-klub\src\composables\useHorses.js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 0, 21, 11, 124
"d:\WEBProgramozás\laguna-lovas-klub\src\composables\useProductForm.js", "JavaScript", 0, 0, 0, 217, 0, 0, 0, 0, 28, 35, 280
"d:\WEBProgramozás\laguna-lovas-klub\src\composables\useProducts.js", "JavaScript", 0, 0, 0, 100, 0, 0, 0, 0, 25, 14, 139
"d:\WEBProgramozás\laguna-lovas-klub\src\composables\useTheme.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 5, 7, 45
"d:\WEBProgramozás\laguna-lovas-klub\src\main.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 2, 6, 21
"d:\WEBProgramozás\laguna-lovas-klub\src\router\index.js", "JavaScript", 0, 0, 0, 122, 0, 0, 0, 0, 5, 9, 136
"d:\WEBProgramozás\laguna-lovas-klub\src\services\competitionService.js", "JavaScript", 0, 0, 0, 155, 0, 0, 0, 0, 47, 29, 231
"d:\WEBProgramozás\laguna-lovas-klub\src\services\contactService.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 0, 2, 12, 63
"d:\WEBProgramozás\laguna-lovas-klub\src\services\horseImageService.js", "JavaScript", 0, 0, 0, 82, 0, 0, 0, 0, 35, 20, 137
"d:\WEBProgramozás\laguna-lovas-klub\src\services\horseService.js", "JavaScript", 0, 0, 0, 142, 0, 0, 0, 0, 53, 31, 226
"d:\WEBProgramozás\laguna-lovas-klub\src\services\productService.js", "JavaScript", 0, 0, 0, 166, 0, 0, 0, 0, 62, 38, 266
"d:\WEBProgramozás\laguna-lovas-klub\src\services\supabase.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"d:\WEBProgramozás\laguna-lovas-klub\src\utils\formatting.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 5, 5, 46
